trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.95, 'e': 0.0010770059235325794}",25,0,22.661891638728513,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.95, 'e': 0.0010096420818819728}",25,5,33.672715638449205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.0009484066767830045}",25,8,-31.70666972262868,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.95, 'e': 0.0008925782121658411}",25,0,42.43175703144488,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.95, 'e': 0.0008415383320710259}",20,0,17.97347235571101,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.95, 'e': 0.0007947546195112259}",20,3,16.37759306053127,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.0007517666516313336}",35,11,-55.691666103556464,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
37,False,"{'a': 0.95, 'e': 0.0007121746252181034}",20,9,15.967789774610301,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.000675630024998311}",20,4,-5.365231840945868,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.0006418279259330574}",30,17,1.1129292130645603,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.0006105006105006105}",25,13,13.712189557854217,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.000581412250356115}",20,6,24.874736555362386,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.0005543544542380398}",25,0,29.635022638446696,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.0005291425245389846}",20,0,-14.95681282621045,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.0005056122964910507}",20,10,18.633586976495558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.0004836174585902551}",35,13,33.473295132658826,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.0004630272723063389}",25,14,-24.27459765708454,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.95, 'e': 0.0004437246244980365}",35,0,-95.67547846721274,"{0: 28, 1: 0, 2: 3, 3: 3, 4: 1}",0
48,False,"{'a': 0.95, 'e': 0.00042560435818862785}",20,12,-48.63920633014472,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.95, 'e': 0.00040857183714326567}",25,11,-6.549654721073988,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.0003925417075564279}",20,7,-22.927174206688328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.95, 'e': 0.0003774368265111627}",25,0,34.652240338693474,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
